ID,StreetNumber,StreetName,AdditionalLocationInformation,Category,BuildingNameSpecifics,EvaluationGroup,MunicipalDesignationM,ProvincialDesignationP,HeritageRevitalizationAgreementH,InteriorDesignationI,LandscapeDesignationL,HeritageConservationAreaCA,HeritageConservationCovenantHC,FederalDesignationF,Status,DateofLastUpdate,LocalArea,Geom,geo_point_2d
1420,618,SALSBURY DR,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.06798005252816, 49.27902940723886], ""type"": ""Point""}","49.27902940723886, -123.06798005252816"
1437,1620,SEMLIN DR,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.06353447551916, 49.27006762840518], ""type"": ""Point""}","49.27006762840518, -123.06353447551916"
1438,802-804,SEMLIN DR,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.06340395454242, 49.27736662108886], ""type"": ""Point""}","49.27736662108886, -123.06340395454242"
1443,901,SEYMOUR ST,None,HERITAGE BUILDINGS,former Dominion Motors,C,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.12106737476256, 49.27960876969077], ""type"": ""Point""}","49.27960876969077, -123.12106737476256"
1462,4220,ST. CATHERINES ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kensington-Cedar Cottage,"{""coordinates"": [-123.08538950110152, 49.24725756876439], ""type"": ""Point""}","49.24725756876439, -123.08538950110152"
1480,1841,STEPHENS ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16663262388946, 49.26946967676677], ""type"": ""Point""}","49.26946967676677, -123.16663262388946"
1482,1916,STEPHENS ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16599476060931, 49.268915344563254], ""type"": ""Point""}","49.268915344563254, -123.16599476060931"
1484,1928,STEPHENS ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16600040274247, 49.26873897654472], ""type"": ""Point""}","49.26873897654472, -123.16600040274247"
1498,2406,STEPHENS ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16613949912959, 49.26479500199333], ""type"": ""Point""}","49.26479500199333, -123.16613949912959"
1499,1634-1636,STEPHENS ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.1659636476645, 49.271331907208875], ""type"": ""Point""}","49.271331907208875, -123.1659636476645"
1502,2204-2206,STEPHENS ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16610490392355, 49.26647492446206], ""type"": ""Point""}","49.26647492446206, -123.16610490392355"
1510,2050,SW MARINE DR,None,HERITAGE BUILDINGS,Wilmar Coach House,B,Yes,No,Yes,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kerrisdale,"{""coordinates"": [-123.1540307500867, 49.21376991668787], ""type"": ""Point""}","49.21376991668787, -123.1540307500867"
1513,2206,SW MARINE DR,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kerrisdale,"{""coordinates"": [-123.15938925706075, 49.21980597694005], ""type"": ""Point""}","49.21980597694005, -123.15938925706075"
1528,1296,THE CRESCENT,None,HERITAGE BUILDINGS,Fleck Residence,C,No,No,No,No,No,Yes,No,No,Active,2020-09-18T10:18:45-07:00,Shaughnessy,"{""coordinates"": [-123.1344637971694, 49.2545706204861], ""type"": ""Point""}","49.2545706204861, -123.1344637971694"
1555,2060,TRAFALGAR ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16424213663956, 49.267641510075855], ""type"": ""Point""}","49.267641510075855, -123.16424213663956"
1566,1962,TURNER ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.0642975699559, 49.27888933000206], ""type"": ""Point""}","49.27888933000206, -123.0642975699559"
1569,316,UNION ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09647320300084, 49.277336637134596], ""type"": ""Point""}","49.277336637134596, -123.09647320300084"
1580,632,UNION ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09083242008485, 49.277236076884044], ""type"": ""Point""}","49.277236076884044, -123.09083242008485"
1610,506-508,VICTORIA DR,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.06535344040593, 49.27995390995647], ""type"": ""Point""}","49.27995390995647, -123.06535344040593"
1629,166,W 10TH AV,None,HERITAGE BUILDINGS,Robert Moore House,A,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Mount Pleasant,"{""coordinates"": [-123.10894671931456, 49.26196092347084], ""type"": ""Point""}","49.26196092347084, -123.10894671931456"
1662,95,W 11TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Mount Pleasant,"{""coordinates"": [-123.1066659905233, 49.26142075108367], ""type"": ""Point""}","49.26142075108367, -123.1066659905233"
1679,1986,W 11TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15012534682934, 49.26163515204069], ""type"": ""Point""}","49.26163515204069, -123.15012534682934"
1681,2034,W 11TH AV,None,HERITAGE BUILDINGS,Jones Tent & Awning,B,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15186303145788, 49.26166300878555], ""type"": ""Point""}","49.26166300878555, -123.15186303145788"
1707,1855,W 12TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.1471426092497, 49.261189770077564], ""type"": ""Point""}","49.261189770077564, -123.1471426092497"
1711,1936,W 12TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.14911466423744, 49.26066004946799], ""type"": ""Point""}","49.26066004946799, -123.14911466423744"
